event_id,n_vectors,angle_0_360_deg,orientation_0_180_deg,angular_spread_deg,reliability,x_tick_min,x_tick_max,y_tick_min,y_tick_max
1,7,155.95,155.95,3.479,high,-0.02,0.02,-0.015,0.015
2,7,158.809,158.809,3.653,high,-0.05,0.05,-0.03,0.03
3,7,208.945,28.945,3.902,high,-0.02,0.02,-0.02,0.02
4,7,147.914,147.914,6.061,high,-0.1,0.1,-0.06,0.06
5,7,49.318,49.318,47.03,low,-0.05,0.05,-0.06,0.06
6,7,165.245,165.245,7.603,high,-0.02,0.02,-0.03,0.03
7,7,208.915,28.915,3.904,high,-0.02,0.02,-0.02,0.02
8,7,154.684,154.684,5.171,high,-0.02,0.02,-0.015,0.015
9,7,157.496,157.496,3.6,high,-0.02,0.02,-0.02,0.02
10,7,155.281,155.281,4.994,high,-0.05,0.05,-0.02,0.02
11,7,158.753,158.753,5.049,high,-0.02,0.02,-0.015,0.015
12,7,151.237,151.237,4.621,high,-0.05,0.05,-0.04,0.04
13,7,217.385,37.385,2.884,high,-0.04,0.04,-0.03,0.03
14,7,184.79,4.79,1.702,high,-0.05,0.05,-0.015,0.015
15,7,217.965,37.965,2.904,high,-0.04,0.04,-0.03,0.03
16,7,155.48,155.48,5.611,high,-0.1,0.1,-0.05,0.05
17,7,134.567,134.567,17.619,medium,-0.02,0.02,-0.02,0.02
18,7,152.953,152.953,4.381,high,-0.02,0.02,-0.02,0.02
19,7,153.868,153.868,5.354,high,-0.1,0.1,-0.06,0.06
20,7,149.387,149.387,4.736,high,-0.04,0.04,-0.02,0.02
21,7,169.556,169.556,14.256,medium,-0.05,0.05,-0.05,0.05
22,7,139.332,139.332,11.085,medium,-0.02,0.02,-0.02,0.02
23,7,75.592,75.592,7.257,high,-0.01,0.01,-0.04,0.04
24,7,210.226,30.226,47.224,low,-0.05,0.05,-0.04,0.04
25,7,155.262,155.262,4.317,high,-0.1,0.1,-0.05,0.05
26,7,59.866,59.866,4.021,high,-0.02,0.02,-0.05,0.05
27,7,115.672,115.672,6.344,high,-0.05,0.05,-0.1,0.1
28,7,147.036,147.036,4.423,high,-0.05,0.05,-0.05,0.05
29,7,157.715,157.715,4.618,high,-0.1,0.1,-0.06,0.06
30,7,144.06,144.06,3.171,high,-0.05,0.05,-0.06,0.06
31,7,145.662,145.662,3.106,high,-0.1,0.1,-0.06,0.06
32,7,157.29,157.29,20.178,low,-0.05,0.05,-0.05,0.05
33,7,154.258,154.258,6.516,high,-0.05,0.05,-0.04,0.04
34,7,127.955,127.955,4.925,high,-0.1,0.1,-0.1,0.1
35,7,148.629,148.629,5.415,high,-0.04,0.04,-0.03,0.03
36,7,159.324,159.324,3.021,high,-0.02,0.02,-0.015,0.015
37,7,165.855,165.855,4.386,high,-0.02,0.02,-0.015,0.015
38,7,159.049,159.049,2.139,high,-0.1,0.1,-0.08,0.08
39,7,154.651,154.651,7.808,high,-0.05,0.05,-0.02,0.02
40,7,67.445,67.445,9.725,high,-0.01,0.01,-0.02,0.02
41,7,156.82,156.82,2.357,high,-0.04,0.04,-0.015,0.015
